2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2022.003120,4G-ANS060 - ANS048,GO,TCO,,FEITO,4,4G-ANS060 - ANS048 (2022.003120),8/8/2023,,
2023.002865,NMTR01 - SNAT01,RS,TSL,,FEITO,1,NMTR01 - SNAT01 (2023.002865),8/9/2023,41.5 - 67.5,
2023.002864,TBPA01 - PR5040,PR,TSL,VALIDAÇÃO,FEITO,2,TBPA01 - PR5040 (2023.002864),8/9/2023,57 - 58,
2023.001364,PPCA01 - PPPE01,PR,TSL,MODERNIZAÇÃO,FEITO,3,PPCA01 - PPPE01 (2023.001364),8/9/2023,"30,5 - 37,5",
2017.000949,CXMS01 - CXMMW02,MS,TCO,,FEITO,1,CXMS01 - CXMMW02 (2017.000949),8/10/2023,,
2022.003414,CZCZ01 - CZCZ02,PB,TNE,MODERNIZAÇÃO,FEITO,2,CZCZ01 - CZCZ02 (2022.003414),8/10/2023,"46,5 - 46,5",
2022.003419,4G-CMBH67 - DQMMW01,MG,TLE,,FEITO,3,4G-CMBH67 - DQMMW01 (2022.003419),8/10/2023,54 - 32,
2023.002413,4G-CCZG91 - 4G-CCZG90,GO,TCO,,FEITO,1,4G-CCZG91 - 4G-CCZG90 (2023.002413),8/10/2023,,
2023.002944,4G-CCZG93 - 4G-CCZG90,GO,TCO,,FEITO,1,4G-CCZG93 - 4G-CCZG90 (2023.002944),8/10/2023,,
2023.003607,SN-PARD08 - PAVG13,MG,TLE,,FEITO,1,SN-PARD08 - PAVG13 (2023.003607),8/11/2023,,
2023.000427,PETR10 - RJMW32,RJ,TRJ,,FEITO,2,PETR10 - RJMW32 (2023.000427),8/11/2023,"49 - 20,5",
2023.002995,CPGZ30 - SFIT05,RJ,TRJ,,FEITO,3,CPGZ30 - SFIT05 (2023.002995),8/11/2023,40 - 24,
2018.004169,NLSACD48 - SACD06,BA,TNE,,FEITO,4,NLSACD48 - SACD06 (2018.004169),8/14/2023,,
2021.006845,SR-SCS106 - FNKT01,SC,TSL,,FEITO,1,SR-SCS106 - FNKT01 (2021.006845),8/14/2023,41.9 - 46,
2023.002997,CPGZ22 - CPGZ04,RJ,TRJ,,FEITO,2,CPGZ22 - CPGZ04 (2023.002997),8/14/2023,51.5 - 37,
2023.002412,4G-CCZG90 - 4G-CMGG90,GO,TCO,,FEITO,1,4G-CCZG90 - 4G-CMGG90 (2023.002412),8/14/2023,,
2023.002405,4G-URCG91 - 4G-SNDG91,GO,TCO,,FEITO,2,4G-URCG91 - 4G-SNDG91 (2023.002405),8/14/2023,,
2023.001645,SR-BPIR13 - BPIR02,RJ,TRJ,,FEITO,1,SR-BPIR13 - BPIR02 (2023.001645),8/15/2023,37 - 46,
2023.003606,SN-BMRD01 - CGVH07,MG,TLE,,FEITO,,SN-BMRD01 - CGVH07 (2023.003606),8/15/2023,,
